,0
vaccine passport,189.91543300586494
covid passport,43.873578722808034
covid pass,33.67507045762844
need vaccine,25.184155933575205
covid vaccine,23.134762524572572
health pass,20.77661925055343
passport source,15.7157639135665
vaccine pass,14.93068122647816
passport need,11.909685443754526
introduce vaccine,11.394980997020316
qr code,10.791288237081206
passport plan,10.461233338046188
want vaccine,10.304054682160602
anti vaccine,10.233668634523475
support vaccine,10.194821415190795
require vaccine,9.886231220935285
implement vaccine,9.820825672722961
province vaccine,9.483782648748406
pass sanitaire,8.871639619869832
proof vaccination,8.653270610000138
passport vaccine,8.484179383049801
nice try,8.346082741948798
defy province,8.33473789117677
business vow,8.20616475433567
vow defy,8.20616475433567
mandate vaccine,8.084159226477304
convenient card,7.882864750919553
vaccine vaccine,7.809613610597168
vaccination status,7.751949569180788
fully vaccinate,7.750924080783566
passport program,7.584654031816992
consider vaccine,7.469307822171202
introduce covid,7.3835705602871995
social contract,7.3776664911262895
passport mandate,7.323004398521971
passport agenda,7.316222453564309
step introduce,7.298601990355075
check step,7.298601990355075
dougy check,7.298601990355075
thank dougy,7.298601990355075
passport come,7.281057450167653
lie social,7.220090902291476
agenda rely,7.220090902291476
rely lie,7.220090902291476
nhs application,7.112758531083038
require proof,7.065584277450522
public health,6.930512269776946
orwellian vaccine,6.918740576992171
ontario introduce,6.8524586731702595
like vaccine,6.834222374474758
need covid,6.802924552141519
passport application,6.72643383218081
double jabbed,6.470893576728486
passport thing,6.411723826635265
outside hospital,6.282458568070774
card vaccination,6.199290179020368
think vaccine,6.197498245765434
sign petition,6.165722998825585
passport people,6.158239369580882
nhs covid,6.047406617095193
know vaccine,6.01763100848788
status consider,5.9672978025331815
bring vaccine,5.929839822403167
passport require,5.883151458529109
passport end,5.855271252173749
passport work,5.821008267339665
negative test,5.816051928215306
passport travel,5.669930341674334
passport covid,5.635120357874674
launch convenient,5.597297745315002
passport vaccinate,5.540783716541181
non essential,5.530580133788092
wear mask,5.521899343831169
laugh loud,5.416278304240782
ask vaccine,5.301924281793333
use vaccine,5.141779878561766
immunization record,5.110709610585115
vaccination rate,5.078026659714465
approve ontario,4.794943053715422
social credit,4.744394369304843
end freedom,4.730806803686967
stop vaccine,4.718527932434503
protest outside,4.673024839819105
government abolish,4.619111312415466
abolish vaccine,4.619111312415466
vaccinate vaccine,4.611840765943763
passport stop,4.592523677934432
passport want,4.529019270198754
passport help,4.472389603676919
protest vaccine,4.402660765430774
look like,4.379304469109508
passport use,4.366306522181517
vaccine appointment,4.326051680805102
people want,4.309706645285027
vaccinated people,4.2824473116033825
passport vote,4.273075757321482
sound like,4.166918864672839
passport passport,4.158697752187079
passport scheme,4.151141125846809
source confirm,4.1055316207097565
unveil covid,4.1055316207097565
ontario unveil,4.085386928817538
passport mean,4.024711979823245
stop spread,4.021397540600086
passport wo,3.990855579637562
passport safe,3.9795247301758954
pcr test,3.9738974733949783
people vaccine,3.953786933178716
passport away,3.9395382180006377
passport allow,3.892262165532479
passport qr,3.830678674369871
natural immunity,3.815094307526474
passport think,3.8026602000227117
model country,3.7812479589149337
safe model,3.7812479589149337
cybersecurity expert,3.7812479589149337
vaccine status,3.7445195964506466
come vaccine,3.7289734400384438
human right,3.7287415134333957
government vaccine,3.715898104395794
appointment double,3.7149548463081175
passport like,3.7082848881720123
people vaccinate,3.6888015339078937
enforce vaccine,3.6803125653297872
passport amp,3.6692892835190385
point vaccine,3.6484501275362646
spread covid,3.6405216726266767
passport enter,3.639824058494721
code vaccine,3.6264056904169446
passport lose,3.6171217428286075
passport life,3.6111993390321615
business health,3.603218342274194
senior government,3.589829763996575
government source,3.589829763996575
great reset,3.588439503469138
vaccine mandate,3.5725895372004244
booster shot,3.567400233659479
announce new,3.560419285282016
ontario vaccine,3.551298676023743
passport place,3.5381604075529647
range activity,3.5168364684879405
passport vaccination,3.4876081666948053
passport way,3.4740362841875756
passport announcement,3.470250950063158
new program,3.4154485518310906
passport non,3.413193528258804
incoming vaccine,3.3890357680225827
away life,3.348251555762743
life information,3.348251555762743
passport naze,3.348251555762743
store passport,3.348251555762743
information store,3.348251555762743
reset vaccine,3.348251555762743
remember great,3.348251555762743
jabbed covid,3.344116443777599
create vaccine,3.331496978470134
sanitary pass,3.3170572418478765
vaccine certificate,3.312441938579768
long term,3.304282218590283
stay home,3.2687995817268076
favour vaccine,3.25726575166627
passport ontario,3.2568703338533433
lateral flow,3.2349287050683495
wide range,3.2326776128578896
vaccine registration,3.2326776128578896
jump announce,3.2326776128578896
program require,3.2326776128578896
vaccination wide,3.2326776128578896
covid test,3.227882933432806
announce vaccine,3.1880039737588755
passport right,3.187955529235558
passport lockdown,3.184436792670615
mandatory vaccine,3.183349862295608
book day,3.1724856789985987
ontario covid,3.155456498424325
digital vaccine,3.150316908852508
increase vaccination,3.1225377982538105
vaccinate covid,3.0766668350707036
proof vaccine,3.0561566195820697
want covid,3.049690134763437
passport government,3.0459639145182678
application use,3.025571018139571
time vaccine,3.0226812207736065
covid case,3.0009858268122573
passport issue,2.9962819703165504
amp vaccine,2.989452169186462
day jump,2.9876206193258383
registration book,2.9876206193258383
passport ready,2.9773060169223227
covid vaccination,2.9712199299023254
accept vaccine,2.9587655103981128
source news,2.9541405707402983
spread virus,2.952271662237712
version vaccine,2.951603758369265
double ontario,2.9333380243381795
stage protest,2.927261431541589
new vaccine,2.9201848769489023
mask mandate,2.911258696201198
passport health,2.887132719963612
stance vaccine,2.8724851937209017
launch vaccine,2.8699554890200156
covid covid,2.8336495274832125
international travel,2.8268153080955827
mark beast,2.7960138202945033
people covid,2.789643470191676
anti vaxxer,2.7886329245957455
push vaccine,2.7810650037877718
passport policy,2.7782878979108263
credit score,2.7508359927063855
passport business,2.7403571094299126
feel safe,2.737394818281645
benefit province,2.727676953846195
source ontario,2.721622942101762
passport let,2.6938137035306524
essential place,2.6934285732197916
plan stage,2.693091990018881
difference vaccine,2.6643613255575254
big time,2.662138691596233
plan vaccine,2.6545422960923943
opposition vaccine,2.646999387409607
national vaccine,2.6448607247966764
require covid,2.640329880639203
wrong vaccine,2.635422137456357
expert vaccine,2.631673160899008
carry card,2.6256817177697807
institute vaccine,2.6255742184801942
passport rule,2.62318934225198
professional vaccine,2.6191461003455876
force vaccine,2.6141752283063435
impose vaccine,2.6137703149158114
passport know,2.608619611940919
laugh ass,2.5711700892554994
negative covid,2.5451359594183454
passport law,2.537818000165057
passport protect,2.5281841915732324
ve vaccine,2.52707336248984
vaccination covid,2.521314670169292
price passport,2.5140750637093747
lose big,2.5140750637093747
agree vaccine,2.513671070443971
want sure,2.498294389131224
passport nightclub,2.4839747025586236
issue vaccine,2.4775587127357324
opponent incoming,2.474216971812987
poll majority,2.464193664394715
majority favour,2.464193664394715
right vaccine,2.4563801443698594
announce covid,2.4518624127637905
pass need,2.450687398854152
majority want,2.4499025535163352
covid health,2.439833171376499
passport control,2.4315827834522095
rate vaccine,2.4258191013458545
passport idea,2.4242626663073192
end vaccine,2.417116535207073
government require,2.4170160181941815
program sign,2.4128017527080026
allow vaccine,2.4110939201073407
passport nonsense,2.4057734524202945
fake vaccine,2.3958425394048444
passport check,2.3935330194043978
anti vax,2.389063675228438
oppose vaccine,2.3841368838171
covid application,2.379249601392809
fuck vaccine,2.3789676521705596
vaccinate people,2.365713805155265
passport good,2.3572096010135972
bar restaurant,2.356838737665092
federal vaccine,2.342368789213236
pandemic unvaccinated,2.3382112869614033
reporter twitterhandle,2.3376431200316112
buyout yesterdays,2.3376431200316112
include quote,2.3376431200316112
write reporter,2.3376431200316112
quote write,2.3376431200316112
rally include,2.3376431200316112
yesterdays rally,2.3376431200316112
sure buyout,2.3376431200316112
passport fine,2.336982354824808
people need,2.3351390354111627
ban vaccine,2.331440104964376
passport download,2.3240723269636163
split society,2.313957180207254
pass nhs,2.311522157980568
unvaccinated people,2.3010989024934476
plan protest,2.300289971995301
passport opponent,2.300289971995301
opponent plan,2.300289971995301
passport leave,2.2970322124817146
application covid,2.292603513374586
passport ve,2.2847968653812103
passport booster,2.2763429441833276
passport majority,2.2762770634284366
province increase,2.2651382838186525
health passport,2.262561170320341
forget vaccine,2.255389527028137
passport access,2.255298070588392
passport outside,2.254766469033842
work vaccine,2.24599484338487
vaccination booking,2.2343781234027698
force vaccination,2.233378907440421
passport certificate,2.2262400505185918
exemption vaccine,2.218114352493686
vaccinate need,2.1856888565008084
reason vaccine,2.185214299163435
sport event,2.183927304663635
pass application,2.1802005813680414
test result,2.179655392138321
business owner,2.174495868075697
passport sign,2.1666245510076902
passport convince,2.1570876990851335
convince unvaccinated,2.1570876990851335
driver license,2.1546986520754476
opposition party,2.1542534075182482
covid event,2.1453677582756057
passport protest,2.1347410867053767
catch covid,2.1282886515650317
application vaccine,2.1247711442708255
passport link,2.1224437893972166
need booster,2.11841629328721
flow test,2.1079064157272116
passport social,2.103124185315738
stop infection,2.1026689231276823
term solution,2.0991888064978785
solution institute,2.0991888064978785
travel abroad,2.097763435358165
business require,2.096866316708032
season ticket,2.090806771228175
believe vaccine,2.0847022310910317
look vaccine,2.0812944008477556
vaccine work,2.0798102362991626
enter restaurant,2.0757422201468856
welcome vaccine,2.0713761872297187
right thing,2.0661065391011793
come soon,2.0639792391166187
right freedom,2.0587994063828114
delta variant,2.058617276699735
transmit virus,2.053574203469002
government mandate,2.0526251901527264
ontario business,2.051542647232815
point covid,2.04260437594198
big pharma,2.0415444514782024
mandate sign,2.0321859046042436
program mandate,2.0321859046042436
passport expire,2.0285491692082775
