user_name,user_location,user_description,user_verified,date,text,hashtags,source
Louis wilson,,Pro choice - doing what's right - open to different perspectives,False,2021-08-17 14:39:42,"@glenry @McGiff This is NOT the same, a travel passport is ID to let the country you are entering into know that you are a tourist, you are not a threat to their citizens, you are there to contribute to their economy. A travel passport is available to all. A Vaccine Passport is NOT",,Twitter for iPhone
ClHunt,,,False,2021-08-17 14:39:20,"@WorkBritneyJean @SouthernOver @kelly_kling @brinleyhineman You are wacked! The Klatten family built their riches off of the Natzi concentration camp labor  &amp; they have recently been awarded the Vaccine Passport contract for the UK...
the 46th richest person in the world. Daughter of Herbert and Johanna Quandt.",,Twitter Web App
Pires_01,Lionel Messi’s Trophy Room ,"Believer in Jesus Christ, Phil 4:13. Not perfect but I strive to be the best person I can.Freedom lover , truth-seeker, anti-fake news. Soccer/MMA/Boxing fan",False,2021-08-17 14:39:16,"@joe_warmington this is the RN president of Ontario. She deleted this poll because she didn’t like the result. Look at the sample size , @fordnation should know that we don’t want vaccine passport in Ontario https://t.co/zKsV6VsQiY",,Twitter for iPhone
Vintage Maria,"New York, NY",Balanced Boss Bitch™️✊🏽| MBA 🎓 •Real Estate Expert🏘 •Startup Guru🚀 •Creative Genius💡 •Health Enthusiast🏋🏽‍♀️ •Foodie🥘 •Spiritualist🧘🏾‍♀️,False,2021-08-17 14:38:22,Where’s the NYC vaccine passport protest??? I want in!,,Twitter for iPhone
SandileSN,South Africa,"Mzansian! Financial Freedom, Cryptocurrency, Contrarian, Minimalist, Self-Sufficiency, Adrenaline Junkie, Staying Young at Heart, etc.",False,2021-08-17 14:38:15,"I love this!!! Screw #VaccinePassports
https://t.co/55UXZmwS0o",['VaccinePassports'],Twitter Web App
Deputy Dawgly,,Dawgedly determined,False,2021-08-17 14:37:58,"@MThebrexitparty @photopro28 Volunteering As a Jab Lab-Rat Earns a Vaccine Pass! 
UK COVID-Vax Min. Zahawi says it doesn’t matter if Novavax trial participants have “HAD THE PLACEBO or the VACCINE”, “they’ll be considered as FULLY VACCINATED” in the UK &amp; “will have their VACCINE PASS”
https://t.co/aoHyfufj7p",,Twitter Web App
intellectual property respecter,,"Opinions barely my own, let alone anyone else’s.",False,2021-08-17 14:37:27,"@ChapGebassi Fully vaccinated and never took off the mask here, but a vaccine passport is invasive, gives more power to law enforcement (ALWAYS bad), feels disproportionate to the activities one is needed for, and may embolden right-wing talking points disproportionately to the benefits. JMO.",,Twitter Web App
1984,Where you are,They call me George ( Novelty Account For Entertainment Purposes Only ) All is a joke... like Ha Ha Funny,False,2021-08-17 14:36:57,"@AJEnglish I guess no vaccine passport , negative test, or a mask was required lol",,Twitter for iPad
Pappy,,"Affirmations, Whitenoise, Relaxing Sounds and Videos. Please subscribe YOUTUBE 👇",False,2021-08-17 14:36:40,@erinotoole Please tell me you oppose the invasive vaccine passport 🙏,,Twitter for Android
Victoria Morrison,London,,False,2021-08-17 14:36:38,"@DavidPetri15 @robmatchette @SimonCalder Hi! So they accept the NHS covid pass, BUT the 3 indian made batches of Astrazeneca (Vaxzevria) are considered to be Covishield by EMA aka they aren't approved. I'm wondering whether they will just accept the NHS covid pass which sais Vaxzevria or check batch numbers &amp; deny entry",,Twitter Web App
